,id,codigo,nome,altitude,latitude,longitude,coord_x,coord_y,bacia,distrito,concelho,freguesia,responsavel_aut,responsavel_con,estacao_aut,estacao_con,entrada_con,encerra_con,entrada_aut,encerra_aut,telemetria,estado,est_id,geom
189,1037,10N/01UG,CHOUTO,126.0,39.274,-8.351,181204.0,256219.0,TEJO,SANTARÉM,CHAMUSCA,CHOUTO,Autoridade Nacional da Água,CCDR-LVT,UDOGRÁFICA,UDOGRÁFICA,1900-10-01,,2000-12-14,,SIM,ATIVA,920685252,"{'type': 'Point', 'coordinates': ['-8.351', '39.274']}"
190,1038,13H/08UG,CIBÕES,531.0,41.749,-8.285,187387.141,531052.605,CÁVADO/RIBEIRAS COSTEIRAS,BRAGA,TERRAS DE BOURO,CIBÕES,Autoridade Nacional da Água,CCDR-NORTE,UDOGRÁFICA,UDOMÉTRICA,1980-08-01,,2003-04-03,,NÃO,ATIVA,920685998,"{'type': 'Point', 'coordinates': ['-8.285', '41.749']}"
191,1039,12G/02UG,CIMALHAS,454.0,37.365394,-8.534664,164424.78,44441.581,RIBEIRAS DO ALGARVE,FARO,MONCHIQUE,MONCHIQUE,nan,CCDR-ALGARVE,nan,UDOMÉTRICA,1980-10-01,1999-12-31,,,NÃO,EXTINTA,920752514,"{'type': 'Point', 'coordinates': ['-8.534664', '37.365394']}"
192,1041,17K/01UG,COENTRAL GRANDE,952.0,40.061,-8.212,193249.86,343639.844,TEJO,COIMBRA,LOUSÃ,LOUSÃ,Autoridade Nacional da Água,CCDR-CENTRO,UDOGRÁFICA,UDOMÉTRICA,1979-11-01,,2001-09-11,,NÃO,ATIVA,920685256,"{'type': 'Point', 'coordinates': ['-8.212', '40.061']}"
193,1042,23E/01C,COIMBRA,27.0,40.216,-8.437,174159.009,360892.067,MONDEGO,COIMBRA,COIMBRA,COIMBRA (SANTA CRUZ),Autoridade Nacional da Água,CCDR-CENTRO,UDOGRÁFICA,UDOMÉTRICA,1980-04-15,,2001-10-15,2008-07-31,NÃO,DESATIVADA,920685258,"{'type': 'Point', 'coordinates': ['-8.437', '40.216']}"
194,1043,13G/02UG,CÔJA,245.0,40.254,-7.982,212884.097,365023.214,MONDEGO,COIMBRA,ARGANIL,COJA,Autoridade Nacional da Água,CCDR-CENTRO,UDOGRÁFICA,UDOMÉTRICA,1917-07-01,,2001-10-23,,NÃO,ATIVA,920686000,"{'type': 'Point', 'coordinates': ['-7.982', '40.254']}"
195,1045,27K/02UG,COMENDA,266.0,39.403,-7.78,230419.0,270596.0,TEJO,PORTALEGRE,GAVIÃO,COMENDA,Autoridade Nacional da Água,CCDR-ALENTEJO,UDOGRÁFICA,UDOMÉTRICA,1956-10-01,,2001-02-22,,NÃO,ATIVA,920685262,"{'type': 'Point', 'coordinates': ['-7.78', '39.403']}"
196,1046,27J/02U,COMPORTA,2.0,38.380941,-8.789834,142615.0,157291.0,SADO,SETÚBAL,ALCÁCER DO SAL,COMPORTA,Autoridade Nacional da Água,CCDR-ALENTEJO,CLIMATOLÓGICA,CLIMATOLÓGICA,1934-01-01,,2001-05-01,,NÃO,ATIVA,920685264,"{'type': 'Point', 'coordinates': ['-8.789834', '38.380941']}"
197,1047,29L/02U,CONDEIXA,90.0,40.098483,-8.496124,169045.436,347832.941,MONDEGO,COIMBRA,CONDEIXA-A-NOVA,CONDEIXA-A-VELHA,Autoridade Nacional da Água,CCDR-CENTRO,UDOGRÁFICA,UDOMÉTRICA,1980-07-01,,2001-10-01,,NÃO,ATIVA,920685266,"{'type': 'Point', 'coordinates': ['-8.496124', '40.098483']}"
198,1048,17E/04G,CONSTÂNCIA,51.0,39.476,-8.339,182246.173,278641.37,TEJO,SANTARÉM,CONSTÂNCIA,CONSTÂNCIA,Autoridade Nacional da Água,CCDR-LVT,UDOGRÁFICA,UDOMÉTRICA,1979-10-01,,2001-10-25,,NÃO,ATIVA,920686138,"{'type': 'Point', 'coordinates': ['-8.339', '39.476']}"
199,1049,20F/01UG,CORTE DA VELHA,142.0,37.678,-7.745,234190.659,79152.036,GUADIANA,BEJA,MÉRTOLA,MÉRTOLA,Autoridade Nacional da Água,CCDR-ALENTEJO,UDOGRÁFICA,UDOMÉTRICA,1979-10-01,,2001-02-14,,NÃO,ATIVA,920685268,"{'type': 'Point', 'coordinates': ['-7.745', '37.678']}"
200,1051,04J/03UG,CORTES PEREIRAS,90.0,37.482076,-7.501318,255877.024,57502.411,GUADIANA,FARO,ALCOUTIM,ALCOUTIM,nan,CCDR-ALGARVE,nan,UDOMÉTRICA,1979-10-01,2001-09-30,,,NÃO,EXTINTA,920752522,"{'type': 'Point', 'coordinates': ['-7.501318', '37.482076']}"
201,1053,08I/02U,CORUCHE,73.0,38.965,-8.524,166123.0,222023.0,TEJO,SANTARÉM,CORUCHE,CORUCHE,Autoridade Nacional da Água,CCDR-LVT,UDOGRÁFICA,UDOMÉTRICA,1910-01-01,,2001-02-05,,NÃO,ATIVA,920685270,"{'type': 'Point', 'coordinates': ['-8.524', '38.965']}"
