date,Unnamed: 0,rainfall,station
1946-03-01 09:00:00,104802,277.1,920752372
1946-04-01 09:00:00,104803,154.2,920752372
1946-05-01 09:00:00,104804,231.7,920752372
1946-06-01 09:00:00,104805,73.5,920752372
1946-07-01 09:00:00,104806,0.4,920752372
1946-08-01 09:00:00,104807,16.6,920752372
1946-09-01 09:00:00,104808,49.3,920752372
1946-10-01 09:00:00,104809,166.5,920752372
1946-11-01 09:00:00,104810,257.5,920752372
1946-12-01 09:00:00,104811,148.7,920752372
1947-01-01 09:00:00,104812,190.8,920752372
1947-02-01 09:00:00,104813,620.6,920752372
1947-03-01 09:00:00,104814,444.7,920752372
1947-04-01 09:00:00,104815,84.8,920752372
1947-05-01 09:00:00,104816,96.3,920752372
1947-06-01 09:00:00,104817,21.2,920752372
1947-07-01 09:00:00,104818,0.0,920752372
1947-08-01 09:00:00,104819,3.3,920752372
1947-09-01 09:00:00,104820,44.9,920752372
1947-10-01 09:00:00,104821,78.6,920752372
1947-11-01 09:00:00,104822,108.3,920752372
1947-12-01 09:00:00,104823,220.1,920752372
1948-01-01 09:00:00,104824,556.4,920752372
1948-02-01 09:00:00,104825,68.5,920752372
1948-03-01 09:00:00,104826,112.0,920752372
1948-04-01 09:00:00,104827,44.8,920752372
1948-05-01 09:00:00,104828,168.8,920752372
1948-06-01 09:00:00,104829,1.6,920752372
1948-07-01 09:00:00,104830,0.0,920752372
1948-08-01 09:00:00,104831,43.6,920752372
1948-09-01 09:00:00,104832,9.0,920752372
1948-10-01 09:00:00,104833,102.0,920752372
1948-11-01 09:00:00,104834,29.2,920752372
1948-12-01 09:00:00,104835,339.5,920752372
1949-01-01 09:00:00,104836,81.8,920752372
1949-02-01 09:00:00,104837,34.8,920752372
1949-03-01 09:00:00,104838,23.6,920752372
1949-04-01 09:00:00,104839,38.6,920752372
1949-05-01 09:00:00,104840,100.0,920752372
1949-06-01 09:00:00,104841,25.5,920752372
1949-07-01 09:00:00,104842,22.7,920752372
1949-08-01 09:00:00,104843,1.3,920752372
1949-09-01 09:00:00,104844,113.8,920752372
1949-10-01 09:00:00,104845,85.8,920752372
1949-11-01 09:00:00,104846,154.5,920752372
1949-12-01 09:00:00,104847,81.7,920752372
1950-01-01 09:00:00,104848,45.8,920752372
1950-02-01 09:00:00,104849,299.4,920752372
1950-03-01 09:00:00,104850,106.4,920752372
1950-04-01 09:00:00,104851,28.0,920752372
1950-05-01 09:00:00,104852,240.2,920752372
1950-06-01 09:00:00,104853,73.4,920752372
1950-07-01 09:00:00,104854,38.4,920752372
1950-08-01 09:00:00,104855,6.0,920752372
1950-09-01 09:00:00,104856,41.4,920752372
1950-10-01 09:00:00,104857,39.9,920752372
1950-11-01 09:00:00,104858,282.2,920752372
1950-12-01 09:00:00,104859,158.2,920752372
1951-01-01 09:00:00,104860,266.7,920752372
1951-02-01 09:00:00,104861,364.5,920752372
1951-03-01 09:00:00,104862,394.7,920752372
1951-04-01 09:00:00,104863,73.1,920752372
1951-05-01 09:00:00,104864,187.4,920752372
1951-06-01 09:00:00,104865,51.7,920752372
1951-07-01 09:00:00,104866,13.2,920752372
1951-08-01 09:00:00,104867,28.3,920752372
1951-09-01 09:00:00,104868,44.0,920752372
1951-10-01 09:00:00,104869,135.4,920752372
1951-11-01 09:00:00,104870,442.8,920752372
1951-12-01 09:00:00,104871,89.7,920752372
1952-01-01 09:00:00,104872,79.7,920752372
1952-02-01 09:00:00,104873,42.3,920752372
1952-03-01 09:00:00,104874,268.7,920752372
1952-04-01 09:00:00,104875,143.0,920752372
1952-05-01 09:00:00,104876,259.3,920752372
1952-06-01 09:00:00,104877,43.8,920752372
1952-07-01 09:00:00,104878,28.0,920752372
1952-08-01 09:00:00,104879,33.8,920752372
1952-09-01 09:00:00,104880,58.5,920752372
1952-10-01 09:00:00,104881,63.2,920752372
1952-11-01 09:00:00,104882,283.9,920752372
1952-12-01 09:00:00,104883,275.5,920752372
1953-01-01 09:00:00,104884,31.0,920752372
1953-02-01 09:00:00,104885,35.4,920752372
1953-03-01 09:00:00,104886,36.2,920752372
1953-04-01 09:00:00,104887,96.0,920752372
1953-05-01 09:00:00,104888,72.3,920752372
1953-06-01 09:00:00,104889,90.7,920752372
1953-07-01 09:00:00,104890,10.1,920752372
1953-08-01 09:00:00,104891,10.4,920752372
1953-09-01 09:00:00,104892,71.4,920752372
1953-10-01 09:00:00,104893,173.5,920752372
1953-11-01 09:00:00,104894,150.7,920752372
1953-12-01 09:00:00,104895,81.9,920752372
1954-01-01 09:00:00,104896,88.5,920752372
1954-02-01 09:00:00,104897,163.4,920752372
1954-03-01 09:00:00,104898,343.2,920752372
1954-04-01 09:00:00,104899,130.3,920752372
1954-05-01 09:00:00,104900,46.6,920752372
1954-06-01 09:00:00,104901,70.7,920752372
1954-07-01 09:00:00,104902,0.8,920752372
1954-08-01 09:00:00,104903,23.7,920752372
1954-09-01 09:00:00,104904,2.4,920752372
1954-10-01 09:00:00,104905,104.0,920752372
1954-11-01 09:00:00,104906,283.9,920752372
1954-12-01 09:00:00,104907,118.5,920752372
1955-01-01 09:00:00,104908,547.4,920752372
1955-02-01 09:00:00,104909,305.2,920752372
1955-03-01 09:00:00,104910,144.6,920752372
1955-04-01 09:00:00,104911,32.1,920752372
1955-05-01 09:00:00,104912,71.4,920752372
1955-06-01 09:00:00,104913,68.5,920752372
1955-07-01 09:00:00,104914,0.1,920752372
1955-08-01 09:00:00,104915,13.5,920752372
1955-09-01 09:00:00,104916,10.3,920752372
1955-10-01 09:00:00,104917,38.3,920752372
1955-11-01 09:00:00,104918,367.9,920752372
1955-12-01 09:00:00,104919,365.9,920752372
1956-01-01 09:00:00,104920,246.1,920752372
1956-02-01 09:00:00,104921,52.3,920752372
1956-03-01 09:00:00,104922,419.7,920752372
1956-04-01 09:00:00,104923,209.0,920752372
1956-05-01 09:00:00,104924,202.3,920752372
1956-06-01 09:00:00,104925,4.8,920752372
1956-07-01 09:00:00,104926,24.8,920752372
1956-08-01 09:00:00,104927,88.5,920752372
1956-09-01 09:00:00,104928,131.3,920752372
1956-10-01 09:00:00,104929,75.7,920752372
1956-11-01 09:00:00,104930,38.5,920752372
1956-12-01 09:00:00,104931,135.9,920752372
1957-01-01 09:00:00,104932,65.4,920752372
1957-02-01 09:00:00,104933,290.0,920752372
1957-03-01 09:00:00,104934,151.9,920752372
1957-04-01 09:00:00,104935,72.7,920752372
1957-05-01 09:00:00,104936,91.6,920752372
1957-06-01 09:00:00,104937,38.1,920752372
1957-07-01 09:00:00,104938,6.1,920752372
1957-08-01 09:00:00,104939,19.7,920752372
1957-09-01 09:00:00,104940,53.6,920752372
1957-10-01 09:00:00,104941,23.9,920752372
1957-11-01 09:00:00,104942,189.3,920752372
1957-12-01 09:00:00,104943,182.6,920752372
1958-01-01 09:00:00,104944,270.2,920752372
1958-02-01 09:00:00,104945,198.3,920752372
1958-03-01 09:00:00,104946,308.6,920752372
1958-04-01 09:00:00,104947,128.0,920752372
1958-05-01 09:00:00,104948,74.4,920752372
1958-06-01 09:00:00,104949,117.4,920752372
1958-07-01 09:00:00,104950,26.2,920752372
1958-08-01 09:00:00,104951,26.3,920752372
1958-09-01 09:00:00,104952,43.0,920752372
1958-10-01 09:00:00,104953,103.2,920752372
1958-11-01 09:00:00,104954,10.1,920752372
1958-12-01 09:00:00,104955,443.3,920752372
1959-01-01 09:00:00,104956,273.0,920752372
1959-02-01 09:00:00,104957,36.2,920752372
1959-03-01 09:00:00,104958,320.5,920752372
1959-04-01 09:00:00,104959,222.4,920752372
1959-05-01 09:00:00,104960,127.6,920752372
1959-06-01 09:00:00,104961,24.5,920752372
1959-07-01 09:00:00,104962,0.2,920752372
1959-08-01 09:00:00,104963,25.9,920752372
1959-09-01 09:00:00,104964,159.2,920752372
1959-10-01 09:00:00,104965,172.5,920752372
1959-11-01 09:00:00,104966,360.0,920752372
1959-12-01 09:00:00,104967,500.0,920752372
1960-01-01 09:00:00,104968,215.7,920752372
1960-02-01 09:00:00,104969,456.4,920752372
1960-03-01 09:00:00,104970,352.0,920752372
1960-04-01 09:00:00,104971,97.6,920752372
1960-05-01 09:00:00,104972,154.7,920752372
1960-06-01 09:00:00,104973,43.8,920752372
1960-07-01 09:00:00,104974,1.6,920752372
1960-08-01 09:00:00,104975,62.5,920752372
1960-09-01 09:00:00,104976,146.8,920752372
1960-10-01 09:00:00,104977,502.6,920752372
1960-11-01 09:00:00,104978,408.4,920752372
1960-12-01 09:00:00,104979,243.3,920752372
1961-01-01 09:00:00,104980,199.1,920752372
1961-02-01 09:00:00,104981,79.1,920752372
1961-03-01 09:00:00,104982,16.5,920752372
1961-04-01 09:00:00,104983,237.7,920752372
1961-05-01 09:00:00,104984,115.3,920752372
1961-06-01 09:00:00,104985,73.8,920752372
1961-07-01 09:00:00,104986,29.1,920752372
1961-08-01 09:00:00,104987,4.7,920752372
1961-09-01 09:00:00,104988,77.8,920752372
1961-10-01 09:00:00,104989,229.8,920752372
1961-11-01 09:00:00,104990,167.7,920752372
1961-12-01 09:00:00,104991,396.5,920752372
1962-01-01 09:00:00,104992,247.7,920752372
1962-02-01 09:00:00,104993,47.2,920752372
1962-03-01 09:00:00,104994,311.7,920752372
1962-04-01 09:00:00,104995,73.5,920752372
1962-05-01 09:00:00,104996,35.5,920752372
1962-06-01 09:00:00,104997,27.1,920752372
1962-07-01 09:00:00,104998,15.3,920752372
1962-08-01 09:00:00,104999,0.2,920752372
1962-09-01 09:00:00,105000,33.2,920752372
1962-10-01 09:00:00,105001,87.7,920752372
1962-11-01 09:00:00,105002,111.4,920752372
1962-12-01 09:00:00,105003,90.9,920752372
1963-01-01 09:00:00,105004,357.2,920752372
1963-02-01 09:00:00,105005,387.6,920752372
1963-03-01 09:00:00,105006,325.6,920752372
1963-04-01 09:00:00,105007,233.6,920752372
1963-05-01 09:00:00,105008,49.5,920752372
1963-06-01 09:00:00,105009,121.8,920752372
1963-07-01 09:00:00,105010,0.2,920752372
1963-08-01 09:00:00,105011,4.7,920752372
1963-09-01 09:00:00,105012,61.9,920752372
1963-10-01 09:00:00,105013,106.9,920752372
1963-11-01 09:00:00,105014,691.1,920752372
1963-12-01 09:00:00,105015,273.2,920752372
1964-01-01 09:00:00,105016,21.3,920752372
1964-02-01 09:00:00,105017,471.1,920752372
1964-03-01 09:00:00,105018,327.1,920752372
1964-04-01 09:00:00,105019,58.6,920752372
1964-05-01 09:00:00,105020,41.1,920752372
1964-06-01 09:00:00,105021,111.3,920752372
1964-07-01 09:00:00,105022,22.6,920752372
1964-08-01 09:00:00,105023,21.4,920752372
1964-09-01 09:00:00,105024,55.5,920752372
1964-10-01 09:00:00,105025,104.7,920752372
1964-11-01 09:00:00,105026,19.5,920752372
1964-12-01 09:00:00,105027,63.7,920752372
1965-01-01 09:00:00,105028,279.5,920752372
1965-02-01 09:00:00,105029,83.2,920752372
1965-03-01 09:00:00,105030,294.6,920752372
1965-04-01 09:00:00,105031,27.7,920752372
1965-05-01 09:00:00,105032,42.9,920752372
1965-06-01 09:00:00,105033,20.2,920752372
1965-07-01 09:00:00,105034,2.2,920752372
1965-08-01 09:00:00,105035,5.6,920752372
1965-09-01 09:00:00,105036,236.2,920752372
1965-10-01 09:00:00,105037,145.8,920752372
1965-11-01 09:00:00,105038,464.7,920752372
1965-12-01 09:00:00,105039,341.9,920752372
1966-01-01 09:00:00,105040,495.9,920752372
1966-02-01 09:00:00,105041,729.8,920752372
1966-03-01 09:00:00,105042,1.0,920752372
1966-04-01 09:00:00,105043,426.2,920752372
1966-05-01 09:00:00,105044,48.5,920752372
1966-06-01 09:00:00,105045,83.3,920752372
1966-07-01 09:00:00,105046,1.3,920752372
1966-08-01 09:00:00,105047,35.0,920752372
1966-09-01 09:00:00,105048,33.5,920752372
1966-10-01 09:00:00,105049,527.2,920752372
1966-11-01 09:00:00,105050,111.3,920752372
1966-12-01 09:00:00,105051,99.4,920752372
1967-01-01 09:00:00,105052,185.2,920752372
1967-02-01 09:00:00,105053,203.6,920752372
1967-03-01 09:00:00,105054,127.8,920752372
1967-04-01 09:00:00,105055,41.6,920752372
1967-05-01 09:00:00,105056,191.1,920752372
1967-06-01 09:00:00,105057,10.8,920752372
1967-07-01 09:00:00,105058,0.0,920752372
1967-08-01 09:00:00,105059,28.1,920752372
1967-09-01 09:00:00,105060,69.8,920752372
1967-10-01 09:00:00,105061,66.6,920752372
1967-11-01 09:00:00,105062,187.3,920752372
1967-12-01 09:00:00,105063,23.4,920752372
1968-01-01 09:00:00,105064,20.6,920752372
1968-02-01 09:00:00,105065,486.9,920752372
1968-03-01 09:00:00,105066,74.5,920752372
1968-04-01 09:00:00,105067,216.4,920752372
1968-05-01 09:00:00,105068,163.1,920752372
1968-06-01 09:00:00,105069,8.0,920752372
1968-07-01 09:00:00,105070,1.1,920752372
1968-08-01 09:00:00,105071,61.1,920752372
1968-09-01 09:00:00,105072,113.9,920752372
1968-10-01 09:00:00,105073,118.9,920752372
1968-11-01 09:00:00,105074,359.1,920752372
1968-12-01 09:00:00,105075,238.9,920752372
1969-01-01 09:00:00,105076,328.1,920752372
1969-02-01 09:00:00,105077,274.0,920752372
1969-03-01 09:00:00,105078,348.5,920752372
1969-04-01 09:00:00,105079,118.7,920752372
1969-05-01 09:00:00,105080,287.6,920752372
1969-06-01 09:00:00,105081,72.0,920752372
1969-07-01 09:00:00,105082,6.0,920752372
1969-08-01 09:00:00,105083,0.5,920752372
1969-09-01 09:00:00,105084,134.0,920752372
1969-10-01 09:00:00,105085,54.6,920752372
1969-11-01 09:00:00,105086,222.1,920752372
1969-12-01 09:00:00,105087,184.0,920752372
1970-01-01 09:00:00,105088,601.6,920752372
1970-02-01 09:00:00,105089,66.2,920752372
1970-03-01 09:00:00,105090,30.2,920752372
1970-04-01 09:00:00,105091,21.9,920752372
1970-05-01 09:00:00,105092,205.8,920752372
1970-06-01 09:00:00,105093,66.2,920752372
1970-07-01 09:00:00,105094,6.8,920752372
1970-08-01 09:00:00,105095,23.3,920752372
1970-09-01 09:00:00,105096,13.7,920752372
