date,rainfall,station
1948-01-01 09:00:00,93.0,920752656
1948-02-01 09:00:00,86.1,920752656
1948-03-01 09:00:00,28.4,920752656
1948-04-01 09:00:00,57.1,920752656
1948-05-01 09:00:00,86.1,920752656
1948-06-01 09:00:00,12.7,920752656
1948-07-01 09:00:00,0.0,920752656
1948-08-01 09:00:00,0.0,920752656
1948-09-01 09:00:00,0.0,920752656
1948-10-01 09:00:00,43.7,920752656
1948-11-01 09:00:00,0.0,920752656
1948-12-01 09:00:00,129.8,920752656
1949-01-01 09:00:00,5.1,920752656
1949-02-01 09:00:00,4.1,920752656
1949-03-01 09:00:00,68.6,920752656
1949-04-01 09:00:00,69.6,920752656
1949-05-01 09:00:00,2.5,920752656
1949-06-01 09:00:00,7.6,920752656
1949-07-01 09:00:00,0.0,920752656
1949-08-01 09:00:00,0.0,920752656
1949-09-01 09:00:00,123.2,920752656
1949-10-01 09:00:00,1.0,920752656
1949-11-01 09:00:00,128.8,920752656
1949-12-01 09:00:00,132.8,920752656
1950-01-01 09:00:00,93.4,920752656
1950-02-01 09:00:00,24.6,920752656
1950-03-01 09:00:00,72.2,920752656
1950-04-01 09:00:00,17.5,920752656
1950-05-01 09:00:00,87.6,920752656
1950-06-01 09:00:00,9.7,920752656
1950-07-01 09:00:00,1.3,920752656
1950-08-01 09:00:00,0.0,920752656
1950-09-01 09:00:00,5.8,920752656
1950-10-01 09:00:00,80.8,920752656
1950-11-01 09:00:00,67.0,920752656
1950-12-01 09:00:00,92.2,920752656
1951-01-01 09:00:00,60.2,920752656
1951-02-01 09:00:00,72.9,920752656
1951-03-01 09:00:00,50.0,920752656
1951-04-01 09:00:00,41.1,920752656
1951-05-01 09:00:00,13.7,920752656
1951-06-01 09:00:00,12.2,920752656
1951-07-01 09:00:00,0.0,920752656
1951-08-01 09:00:00,0.0,920752656
1951-09-01 09:00:00,11.4,920752656
1951-10-01 09:00:00,10.9,920752656
1951-11-01 09:00:00,145.8,920752656
1951-12-01 09:00:00,66.5,920752656
1952-01-01 09:00:00,29.3,920752656
1952-02-01 09:00:00,139.4,920752656
1952-03-01 09:00:00,147.8,920752656
1952-04-01 09:00:00,28.7,920752656
1952-05-01 09:00:00,43.7,920752656
1952-06-01 09:00:00,44.7,920752656
1952-07-01 09:00:00,0.0,920752656
1952-08-01 09:00:00,7.1,920752656
1952-09-01 09:00:00,35.8,920752656
1952-10-01 09:00:00,127.7,920752656
1952-11-01 09:00:00,52.8,920752656
1952-12-01 09:00:00,36.8,920752656
1953-01-01 09:00:00,72.1,920752656
1953-02-01 09:00:00,54.4,920752656
1953-03-01 09:00:00,62.2,920752656
1953-04-01 09:00:00,85.1,920752656
1953-05-01 09:00:00,6.9,920752656
1953-06-01 09:00:00,1.5,920752656
1953-07-01 09:00:00,0.0,920752656
1953-08-01 09:00:00,0.0,920752656
1953-09-01 09:00:00,1.0,920752656
